BookID,Book,Abreviation,Chapters
1,Genesis,GEN,50
2,Exodus,EXO,40
3,Leviticus,LEV,27
4,Numbers,NUM,36
5,Deuteronomy,DEU,34
6,Joshua,JOS,24
7,Judges,JDG,21
8,Ruth,RUT,4
9,First Samuel,1SA,31
10,Second Samuel,2SA,24
11,First Kings,1KI,22
12,Second Kings,2KI,25
13,First Chronicles,1CH,29
14,Second Chronicles,2CH,36
15,Ezra,EZR,10
16,Nehemiah,NEH,13
17,Esther,EST,10
18,Job,JOB,42
19,Psalms,PSA,150
20,Proverbs,PRO,31
21,Ecclesiastes,ECC,12
22,Song of Solomon,SNG,8
23,Isaiah,ISA,66
24,Jeremiah,JER,52
25,Lamentations,LAM,5
26,Ezekiel,EZK,48
27,Daniel,DAN,12
28,Hosea,HOS,14
29,Joel,JOL,3
30,Amos,AMO,9
31,Obadiah,OBA,1
32,Jonah,JON,4
33,Micah,MIC,7
34,Nahum,NAM,3
35,Habakkuk,HAB,3
36,Zephaniah,ZEP,3
37,Haggai,HAG,2
38,Zechariah,ZEC,14
39,Malachi,MAL,4
40,Matthew,MAT,28
41,Mark,MRK,16
42,Luke,LUK,24
43,John,JHN,21
44,Acts,ACT,28
45,Romans,ROM,16
46,First Corinthians,1CO,16
47,Second Corinthians,2CO,13
48,Galatians,GAL,6
49,Ephesians,EPH,6
50,Philippians,PHP,4
51,Colossians,COL,4
52,First Thessalonians,1TH,5
53,Second Thessalonians,2TH,3
54,First Timothy,1TI,6
55,Second Timothy,2TI,4
56,Titus,TIT,3
57,Philemon,PHM,1
58,Hebrews,HEB,13
59,James,JAS,5
60,First Peter,1PE,5
61,Second Peter,2PE,3
62,First John,1JN,5
63,Second John,2JN,1
64,Third John,3JN,1
65,Jude,JUD,1
66,Revelation,REV,22
