King James Version + Apocrypha (KJA) Books:
BookID,Book,Abreviation,Chapters
1,Genesis,GEN,50
2,Exodus,EXO,40
3,Leviticus,LEV,27
4,Numbers,NUM,36
5,Deuteronomy,DEU,34
6,Joshua,JOS,24
7,Judges,JDG,21
8,Ruth,RUT,4
9,1 Samuel,1SA,31
10,2 Samuel,2SA,24
11,1 Kings,1KI,22
12,2 Kings,2KI,25
13,1 Chronicles,1CH,29
14,2 Chronicles,2CH,36
15,Ezra,EZR,10
16,Nehemiah,NEH,13
17,Esther,EST,10
18,Job,JOB,42
19,Psalms,PSA,150
20,Proverbs,PRO,31
21,Ecclesiastes,ECC,12
22,Song of Solomon,SNG,8
23,Isaiah,ISA,66
24,Jeremiah,JER,52
25,Lamentations,LAM,5
26,Ezekiel,EZK,48
27,Daniel,DAN,12
28,Hosea,HOS,14
29,Joel,JOL,3
30,Amos,AMO,9
31,Obadiah,OBA,1
32,Jonah,JON,4
33,Micah,MIC,7
34,Nahum,NAM,3
35,Habakkuk,HAB,3
36,Zephaniah,ZEP,3
37,Haggai,HAG,2
38,Zechariah,ZEC,14
39,Malachi,MAL,4
40,Tobit,TOB,14
41,Judith,JDT,16
42,Additions to Esther 10-16(Greek),ESG,7
43,Wisdom of Solomon,WIS,19
44,Sirach,SIR,51
45,Baruch,BAR,6
46,3 Holy Children's Song,S3Y,1
47,Susanna,SUS,1
48,Bel and the Dragon,BEL,1
49,1 Maccabees,1MA,16
50,2 Maccabees,2MA,15
51,1 Esdras,1ES,9
52,Prayer of Manasses,MAN,1
53,2 Esdras,2ES,16
54,Matthew,MAT,28
55,Mark,MRK,16
56,Luke,LUK,24
57,John,JHN,21
58,Acts,ACT,28
59,Romans,ROM,16
60,1 Corinthians,1CO,16
61,2 Corinthians,2CO,13
62,Galatians,GAL,6
63,Ephesians,EPH,6
64,Philippians,PHP,4
65,Colossians,COL,4
66,1 Thessalonians,1TH,5
67,2 Thessalonians,2TH,3
68,1 Timothy,1TI,6
69,2 Timothy,2TI,4
70,Titus,TIT,3
71,Philemon,PHM,1
72,Hebrews,HEB,13
73,James,JAS,5
74,1 Peter,1PE,5
75,2 Peter,2PE,3
76,1 John,1JN,5
77,2 John,2JN,1
78,3 John,3JN,1
79,Jude,JUD,1
80,Revelation,REV,22
