Weymouth New Testament (WEY) - Books:
BookID,Book,Abreviation,Chapters
1,Matthew,MAT,28
2,Mark,MRK,16
3,Luke,LUK,24
4,John,JHN,21
5,Acts,ACT,28
6,Romans,ROM,16
7,1 Corinthians,1CO,16
8,2 Corinthians,2CO,13
9,Galatians,GAL,6
10,Ephesians,EPH,6
11,Philippians,PHP,4
12,Colossians,COL,4
13,1 Thessalonians,1TH,5
14,2 Thessalonians,2TH,3
15,1 Timothy,1TI,6
16,2 Timothy,2TI,4
17,Titus,TIT,3
18,Philemon,PHM,1
19,Hebrews,HEB,13
20,James,JAS,5
21,1 Peter,1PE,5
22,2 Peter,2PE,3
23,1 John,1JN,5
24,2 John,2JN,1
25,3 John,3JN,1
26,Jude,JUD,1
27,Revelation,REV,22
